Zug,Beschreibung,JoystickNummer,JoystickInput,Invertieren,InputTyp,InputUmrechnen,Tastenkombination,Aktion,Art,Schritte,Specials,Zeitfaktor,Länger drücken
_Global,Türen links,0,B10,,Button,,y_[press]_[0],,,,,,
_Global,Türen rechts,0,B11,,Button,,u_[press]_[0],,,,,,
_Global,nach links schauen,0,pov,,Button[=27001],,links_[press]_[0],,,,,,
_Global,nach rechts schauen,0,pov,,Button[=9001],,rechts_[press]_[0],,,,,,
_Global,PZB-Wachsam,0,B4,,Button,,,bildab,,,,,
_Global,PZB-Frei,0,B5,,Button,,,ende,,,,,
_Global,PZB-Befehl,0,B6,,Button,,,entf,,,,,
_Global,Direkte Bremse anlegen,0,B9,,Button,,,+,,,,,
_Global,Direkte Bremse lösen,0,B8,,Button,,,ü,,,,,
_Global,Hupe,0,B0,,Button,,,space,,,,,
BR101,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100],42,[0|5:200]
BR101,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahrend=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volle Bremse=9],135,
BR101,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR112,Schub,0,JoyZ,0,1,,Schub,,Stufen,17,[Aus=0][Ein=1][100 km/h=11][110 km/h=12][120 km/h=13][130 km/h=14][140 km/h=15][150 km/h=16][160 km/h=17][10 km/h=2][20 km/h=3][30 km/h=4][40 km/h=5][50 km/h=6][60 km/h=7][70 km/h=8][80 km/h=9][90 km/h=10],115,[0|1:400]
BR112,Bremse,0,JoyY,0,0,,Bremse,,Stufen,8,[Lösen=0][Fahren=0][Voller Betrieb=8],130,[0|1:300]
BR112,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR143,Schub,0,JoyZ,0,1,,Schub,,Stufen,13,[Aus=0][Ein=1][100 km/h=11][110 km/h=12][120 km/h=13][10 km/h=2][20 km/h=3][30 km/h=4][40 km/h=5][50 km/h=6][60 km/h=7][70 km/h=8][80 km/h=9][90 km/h=10],140,
BR143,Bremse,0,JoyY,0,0,,Bremse,,Stufen,10,[Lösen=0][Aus=1][1=2][2=3][3=4][4=5][5=6][6=7][7=8][8=9][Volle Leistung=10],124,
BR143,Bremse nach Lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR146,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100][Min=5][Max=100],53,[0|5:500]
BR146,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahren=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volle Leistung=9],152,
BR146,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR155,Schub,0,JoyZ,0,1,,Schub,,Stufen,30,[Unten=-1][Halten=-2],140,
BR155,Bremse,0,JoyY,0,0,,Bremse,,Stufenlos,,[Lösen=0][Fahrend=0][Aus=1][Minimum=2][1=3][2=3][Volle Leistung=100],100,[0|1:200][1|2:200][2|3:200]
BR155,Bremse nach Aus und Lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR155,Mehr Bremse,0,B3,,Button,,ä_[hold200]_[50]_ä_[hold200]_[0],,,,,,
BR155,Weniger Bremse,0,B2,,Button,,ö_[hold200]_[50]_ö_[hold200]_[0],,,,,,
BR182,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100],53,[0|5:500]
BR182,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahrend=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volle Leistung=9],155,
BR182,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR182 MRCE,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100],53,[0|5:500]
BR182 MRCE,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahren=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Voller Betrieb=9],155,
BR182 MRCE,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR185,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100],53,[0|5:600]
BR185,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahrend=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volle Leistung=9],160,
BR185,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR403/406,Schub,0,JoyZ,0,1,[1=5][2=5][3=5][4=5],Schub,,Stufenlos,,[Umgehung=0][Aus=0][Min.=5][Max.=100],53,[0|5:700]
BR403/406,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Umgehung=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volles Anlegen=9],335,
BR403/406,AFB hoch,0,Sldr,0,Button[>0],,,r,,,,,
BR403/406,AFB runter,0,Sldr,0,Button[<0],,,f,,,,,
BR403/406,Bremse nach Umgehung drücken,0,JoyY,,Button[<0],,,ö,,,,,
BR422,Schub,0,JoyZ,1,0,[1|10=10][-10|-1=-10],Kombihebel,,Stufenlos,,[Min. Leistung=10][Min. Bremse=-10],55|75,[0|10:270][-10|0:270]
BR423,Schub,0,JoyZ,1,0,[1|10=10][-10|-1=-10],Kombihebel,,Stufenlos,,[Minimale Leistung=10][Minimale Bremse=-10],55|83,[0|10:270][-10|0:270]
BR425,Schub,0,JoyZ,1,0,[1|10=10],Kombihebel,,Stufenlos,,[Minimale Bremse=-1][Minimale Leistung=10],55|83,[0|10:250][-1|0:250]
BR442,Schub,0,JoyZ,1,0,[1|5=5][-5|-1=-5],Kombihebel,,Stufenlos,,[Max. Leistung=100][Max. Bremse=-100],73,[0|5:200][-5|0:200]
BR766 Dosto,Schub,0,JoyZ,0,1,[1|5=5],Schub,,Stufenlos,,[Aus=0][Min.=5][Max.=100],53,[0|5:600]
BR766 Dosto,Bremse,0,JoyY,0,0,,Bremse,,Stufen,9,[14=1][Lösen=0][Fahren=0][1A=1][1B=2][2=3][3=4][4=5][5=6][6=7][7=8][Volle Leistung=9],148,
BR766 Dosto,Nach lösen drücken,0,JoyY,,Button[<0],,,ö,,,,,
